route,direction,weekday,hour,2013,2014,2015,2016,2017
I-93 South of Boston,Southbound,weekend,8 AM,10.33,10.3,10.85,11.37,10.87
I-93 South of Boston,Southbound,weekend,9 AM,10.85,10.9,10.8,11.56,12.61
I-93 South of Boston,Southbound,weekend,10 AM,11.61,12.6,11.39,12.85,16.42
I-93 South of Boston,Southbound,weekend,11 AM,12.8,13.27,13.29,15.36,18.36
I-93 South of Boston,Southbound,weekend,12 PM,15.15,16.89,14.77,17.34,19.34
I-93 South of Boston,Southbound,weekend,1 PM,16.76,16.9,19.24,18.51,19.32
I-93 South of Boston,Southbound,weekend,2 PM,19.3,16.17,20.27,19.17,21.09
I-93 South of Boston,Southbound,weekend,3 PM,20.04,17.26,20.77,18.44,20.68
I-93 South of Boston,Southbound,weekend,4 PM,17.71,17.03,18.51,18.07,18.37
I-93 South of Boston,Southbound,weekend,5 PM,16.78,14.68,15.83,16.65,16.82
I-93 South of Boston,Southbound,weekend,6 PM,13.44,12.27,13.38,14.84,14.7
I-93 South of Boston,Southbound,weekend,7 PM,11.77,11.59,11.41,12.18,12.32
I-93 South of Boston,Southbound,weekend,8 PM,11.48,11.27,11.21,12.05,11.99
I-93 South of Boston,Southbound,weekend,9 PM,12.01,11.32,11.43,12.07,11.45
I-95 North to Maine,Northbound,"Tue, Wed, Thu",6 AM,45.03,45.13,46.72,46.92,46.3
I-95 North to Maine,Northbound,"Tue, Wed, Thu",7 AM,47.24,47.5,50.49,49.68,48.99
I-95 North to Maine,Northbound,"Tue, Wed, Thu",8 AM,49.84,49.5,53.22,52.28,52.75
I-95 North to Maine,Northbound,"Tue, Wed, Thu",9 AM,48.47,49.54,52.21,51.46,51.77
I-95 North to Maine,Northbound,"Tue, Wed, Thu",10 AM,46.5,47.48,49.74,50.11,48.75
I-95 North to Maine,Northbound,"Tue, Wed, Thu",11 AM,46.35,46.84,48.75,50.14,47.73
I-95 North to Maine,Northbound,"Tue, Wed, Thu",12 PM,46.21,46.85,49.28,50.19,48.05
I-95 North to Maine,Northbound,"Tue, Wed, Thu",1 PM,46.2,46.56,49.33,49.4,49.1
I-95 North to Maine,Northbound,"Tue, Wed, Thu",2 PM,46.53,47.65,52.32,53.29,54.4
I-95 North to Maine,Northbound,"Tue, Wed, Thu",3 PM,54.51,61.74,71.64,71.69,71.96
I-95 North to Maine,Northbound,"Tue, Wed, Thu",4 PM,74.2,80.78,88.17,83.35,83.77
I-95 North to Maine,Northbound,"Tue, Wed, Thu",5 PM,81.9,87.3,90.07,88.47,88.74
I-95 North to Maine,Northbound,"Tue, Wed, Thu",6 PM,68.19,69.66,71.93,72.04,72.04
I-95 North to Maine,Northbound,"Tue, Wed, Thu",7 PM,49.02,48.01,51.34,49.98,50.39
I-95 North to Maine,Northbound,"Tue, Wed, Thu",8 PM,47.8,47.27,49.37,51.09,48.64
I-95 North to Maine,Northbound,"Tue, Wed, Thu",9 PM,48.44,48.86,50.75,51.29,49.97
I-95 North to Maine,Southbound,"Tue, Wed, Thu",6 AM,51.29,52.44,55.59,56.04,54.44
